# Bucket A: remove verb tags from copula+adjective rows now retagged pos:adjective.
# id<TAB>collection<TAB>reason
2s5vxvtzad	pos:verb	now pos:adjective (bracketed copula predicate)
2s5vxvtzad	topic:verb-system	now pos:adjective (bracketed copula predicate)
2s5vxvtzad	topic:verb-ser-idioms	now pos:adjective (bracketed copula predicate)
2w0dzl1mvl	pos:verb	now pos:adjective (bracketed copula predicate)
2w0dzl1mvl	topic:verb-system	now pos:adjective (bracketed copula predicate)
2w0dzl1mvl	topic:verb-ser-idioms	now pos:adjective (bracketed copula predicate)
8pa5w8lhu0	pos:verb	now pos:adjective (bracketed copula predicate)
8pa5w8lhu0	topic:verb-system	now pos:adjective (bracketed copula predicate)
8pa5w8lhu0	topic:verb-estar-idioms	now pos:adjective (bracketed copula predicate)
8pa5w8lhu0	topic:verb-estar-idioms-1	now pos:adjective (bracketed copula predicate)
9qzgymygsa	pos:verb	now pos:adjective (bracketed copula predicate)
9qzgymygsa	topic:verb-system	now pos:adjective (bracketed copula predicate)
9qzgymygsa	topic:verb-estar-idioms	now pos:adjective (bracketed copula predicate)
9qzgymygsa	topic:verb-estar-idioms-2	now pos:adjective (bracketed copula predicate)
bvwjgfiqzf	pos:verb	now pos:adjective (bracketed copula predicate)
bvwjgfiqzf	topic:verb-system	now pos:adjective (bracketed copula predicate)
bvwjgfiqzf	topic:verb-estar-idioms	now pos:adjective (bracketed copula predicate)
bvwjgfiqzf	topic:verb-estar-idioms-2	now pos:adjective (bracketed copula predicate)
fbhhwzgo6j	pos:verb	now pos:adjective (bracketed copula predicate)
fbhhwzgo6j	topic:verb-system	now pos:adjective (bracketed copula predicate)
fbhhwzgo6j	topic:verb-estar-idioms	now pos:adjective (bracketed copula predicate)
fbhhwzgo6j	topic:verb-estar-idioms-1	now pos:adjective (bracketed copula predicate)
ffr5aig4sd	pos:verb	now pos:adjective (bracketed copula predicate)
ffr5aig4sd	topic:verb-system	now pos:adjective (bracketed copula predicate)
ffr5aig4sd	topic:verb-ser-idioms	now pos:adjective (bracketed copula predicate)
fyziw2rb12	pos:verb	now pos:adjective (bracketed copula predicate)
fyziw2rb12	topic:verb-system	now pos:adjective (bracketed copula predicate)
fyziw2rb12	topic:verb-ser-idioms	now pos:adjective (bracketed copula predicate)
g2cfgdbyi3	pos:verb	now pos:adjective (bracketed copula predicate)
g2cfgdbyi3	topic:verb-system	now pos:adjective (bracketed copula predicate)
g2cfgdbyi3	topic:verb-ser-idioms	now pos:adjective (bracketed copula predicate)
rqwcklpzgf	pos:verb	now pos:adjective (bracketed copula predicate)
rqwcklpzgf	topic:verb-system	now pos:adjective (bracketed copula predicate)
rqwcklpzgf	topic:verb-ser-idioms	now pos:adjective (bracketed copula predicate)
vf8v3tcztr	pos:verb	now pos:adjective (bracketed copula predicate)
vf8v3tcztr	topic:verb-system	now pos:adjective (bracketed copula predicate)
vf8v3tcztr	topic:verb-estar-idioms	now pos:adjective (bracketed copula predicate)
vf8v3tcztr	topic:verb-estar-idioms-2	now pos:adjective (bracketed copula predicate)
vx5dkts0j1	pos:verb	now pos:adjective (bracketed copula predicate)
vx5dkts0j1	topic:verb-system	now pos:adjective (bracketed copula predicate)
vx5dkts0j1	topic:verb-estar-idioms	now pos:adjective (bracketed copula predicate)
vx5dkts0j1	topic:verb-estar-idioms-2	now pos:adjective (bracketed copula predicate)
