if5o5uocfp	especializar	to specialize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
hl9cjbokrp	finalizar	to finalize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
nq7pa5v7aj	minimizar	to minimize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
2xwe3j8ujy	maximizar	to maximize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
a7e5b40skc	organizar	to organize	supporting	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
rr0xrddhra	memorizar	to memorize	supporting	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
lsvapg7c2c	priorizar	to prioritize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
9t2o4ihtoi	categorizar	to categorize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
mabi7dom4b	digitalizar	to digitize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
8drl1wmuon	visualizar	to visualize	reference	cognate:izar-to-ize|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
lfg0ejcjnq	estimar	to estimate	reference	cognate:ar-to-ate|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
yenl2lq9oq	negociar	to negotiate	reference	cognate:ar-to-ate|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
6em7hpnut9	operar	to operate	reference	cognate:ar-to-ate|cognate:transparent	Cognates facet-coverage backfill: row had topic:cognate but no cognate: pattern/type tag at all.		
