1insnlihbx	más vale [hacer algo]	had better [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
r2y6wfhr6z	podría [hacer algo]	could [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
df1fa2p3xy	querer [hacer algo]	to want [to do something]	core	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
nk4hb2zaok	poder [hacer algo] (permiso)	can [do something]	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
rdpiq554g6	no poder [hacer algo]	cannot [do something]	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
g8bhd7ipvu	deber [hacer algo]	to have to [do something]	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
s1qoakwebg	¿lo haces?	do you do it?	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
mk6oc0jtgw	¿ella lo hace?	does she do it?	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
0krc7ykvx4	¿ellos lo hicieron?	did they do it?	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
m5xw7iodne	no lo hago	I don't do it	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
bt7rdzvto5	no lo hicieron	they didn't do it	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
azpvrshi2u	sí lo hago	I do do it	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
xzcldfjhmu	darle tiempo a [alguien] para [hacer algo]	to give [somebody] time to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
2bsn8536de	pensar [hacer algo]	to plan to [do something]	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
zmz6t98hlf	déjame [hacer algo]	let me [do something]	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
5unz3dwyz7	estar prohibido [hacer algo]	must not [do something]	supporting	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
8kpshof0nv	mandar [hacer algo]	to have [something done]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
zl1e6hnb04	quedar en [hacer algo]	to agree to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
9y6wrrzjfz	costarle a [alguien] [hacer algo]	to struggle to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
od0g56sefd	dejar salir a [alguien o algo]	to let [somebody or something] out	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
n27dfso39e	déjame [hacer algo]	lemme [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
sz0g4jfbie	ser capaz de [hacer algo]	to be able to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
30rrpal2u2	soler [hacer algo]	to tend to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
ykm7fr9btb	tocarle a [alguien] [hacer algo]	[somebody] has to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
dtnmnb60nj	tener que [hacer algo] (hablado)	gotta [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
rx423e30re	acordar [hacer algo]	to agree to [do something]	reference	topic:verb-pattern	New Verb Patterns topic page — verbs + gerund/infinitive/bare-infinitive/participle complementation.		
