MERGE	topic:verb-tobe-present-1	topic:verb-tobe-present	Batch 5: merge size-driven numbered split into one "To Be — Present (am/is/are)" group
MERGE	topic:verb-tobe-present-2	topic:verb-tobe-present	Batch 5: merge size-driven numbered split into one "To Be — Present (am/is/are)" group
MERGE	topic:verb-ser-idioms-1	topic:verb-ser-idioms	Batch 5: merge size-driven numbered split into one "To Be (ser) — Idioms & Uses" group
MERGE	topic:verb-ser-idioms-2	topic:verb-ser-idioms	Batch 5: merge size-driven numbered split into one "To Be (ser) — Idioms & Uses" group
MERGE	topic:verb-estar-idioms-1-1	topic:verb-estar-idioms	Batch 5: merge size-driven numbered split into one "To Be (estar) — Idioms & Uses" group
MERGE	topic:verb-estar-idioms-1-2	topic:verb-estar-idioms	Batch 5: merge size-driven numbered split into one "To Be (estar) — Idioms & Uses" group
MERGE	topic:verb-estar-idioms-2-1	topic:verb-estar-idioms	Batch 5: merge size-driven numbered split into one "To Be (estar) — Idioms & Uses" group
MERGE	topic:verb-estar-idioms-2-2	topic:verb-estar-idioms	Batch 5: merge size-driven numbered split into one "To Be (estar) — Idioms & Uses" group
MERGE	topic:verb-perfect-auxiliary-1	topic:verb-perfect-auxiliary	Batch 5: merge size-driven numbered split into one "Have — Perfect Auxiliary (have/has/had done)" group
MERGE	topic:verb-perfect-auxiliary-2	topic:verb-perfect-auxiliary	Batch 5: merge size-driven numbered split into one "Have — Perfect Auxiliary (have/has/had done)" group
MERGE	topic:verb-modal-ability-1	topic:verb-modal-ability	Batch 5: merge size-driven numbered split into one "Modals — Ability & Permission" group
MERGE	topic:verb-modal-ability-2	topic:verb-modal-ability	Batch 5: merge size-driven numbered split into one "Modals — Ability & Permission" group
MERGE	topic:verb-modal-obligation-1	topic:verb-modal-obligation	Batch 5: merge size-driven numbered split into one "Modals — Obligation & Probability (must/should/have to)" group
MERGE	topic:verb-modal-obligation-2	topic:verb-modal-obligation	Batch 5: merge size-driven numbered split into one "Modals — Obligation & Probability (must/should/have to)" group
MERGE	topic:verb-wishes-1	topic:verb-wishes	Batch 5: merge size-driven numbered split into one "Wishes & Hypotheticals" group
MERGE	topic:verb-wishes-2	topic:verb-wishes	Batch 5: merge size-driven numbered split into one "Wishes & Hypotheticals" group
MERGE	topic:verb-communication-talking-1	topic:verb-communication-talking	Batch 5: merge size-driven numbered split into one "Communication — Talking" group
