foy4696l7r	es:él	accent-correct the es: lemma
p5528lcbf2	es:aun	accent-correct the es: lemma
7lxhk2vc3g	es:como	accent-correct the es: lemma
3ov21pqb58	es:cuando	accent-correct the es: lemma
d11xp5btf2	es:quien	accent-correct the es: lemma
0t9g2lohg7	es:donde	accent-correct the es: lemma
7izjvheben	es:cuál	accent-correct the es: lemma
b1uohuf8wn	es:que	accent-correct the es: lemma
dhxw09o9vs	es:que	accent-correct the es: lemma
2f7mb9mt9a	es:que	accent-correct the es: lemma
hnd0boisxm	es:que	accent-correct the es: lemma
y1roq1cyk2	es:que	accent-correct the es: lemma
vk5arw3nk6	es:si	accent-correct the es: lemma
lrfioq96ny	es:cuando	accent-correct the es: lemma
cboe3ncvvg	es:donde	accent-correct the es: lemma
erzbzs0gzc	es:que	accent-correct the es: lemma
ltag03rg5k	es:como	accent-correct the es: lemma
