15kcw4vn4r	robar [algo]	to steal [something]	supporting	audit:reviewed	Audit: fine as-is.
nvywv2tlgk	robar [un lugar]	to rob [a place]	reference	audit:reviewed	Audit: fine as-is.
61rt52kj37	robarle [algo] a [alguien]	to steal [something] from [somebody]	supporting	audit:reviewed	Audit: fine as-is.
gyhcf0i5kb	robar a [alguien]	to rob [somebody]	reference	audit:reviewed	Audit: fine as-is.
muc3ps9ei8	robarse el show	to steal the show	reference	audit:reviewed	Audit: fine as-is.
espkmj03d4	romper [algo]	to break [something]	supporting	audit:reviewed	Audit: fine as-is.
i20yai9d87	romper [algo]	to tear up [something]	reference	audit:reviewed	Audit: fine as-is.
bebv5oi2xq	romper con [alguien]	to break up with [somebody]	reference	audit:reviewed	Audit: fine as-is.
hpvtk2xnfe	romper [algo]	to interrupt [something]	reference	audit:reviewed	Audit: fine as-is.
3wtzllym25	saber [algo]	to know [something]	core	audit:reviewed	Audit: fine as-is.
manx93glfl	saber que [algo]	to know that [something]	core	audit:reviewed	Audit: fine as-is.
z5glfbp5sq	saber [qué/dónde/cuándo/por qué]	to know [what, where, when, or why]	core	audit:reviewed	Audit: fine as-is.
ahq54carab	saber si [algo]	to know whether [something]	supporting	audit:reviewed	Audit: fine as-is.
5qnuapk321	saber [hacer algo]	can [do something]	reference	audit:reviewed	Audit: fine as-is.
kjs3avsme6	supe [algo]	found out [something]	supporting	audit:reviewed	Audit: fine as-is.
tb9cpc7ypj	saber de [un tema]	to know about [a subject]	supporting	audit:reviewed	Audit: fine as-is.
32xfxi2fjv	saber de [alguien]	to hear from [somebody]	reference	audit:reviewed	Audit: fine as-is.
bjifboq9ja	saberse [algo] de memoria	to know [something] by heart	reference	audit:reviewed	Audit: fine as-is.
y86m7wjo50	saber a [algo]	to taste like [something]	reference	audit:reviewed	Audit: fine as-is.
o4nv333v8c	que yo sepa	as far as I know	reference	audit:reviewed	Audit: fine as-is.
kafdnl1n7j	quién sabe	who knows	reference	audit:reviewed	Audit: fine as-is.
ugu6mryvd1	ya sé	I know	reference	audit:reviewed	Audit: fine as-is.
3lpcerxf58	sacar [algo]	to take out [something]	supporting	audit:reviewed	Audit: fine as-is.
qcpsrdimh2	sacar [algo] de [un lugar]	to remove [something] from [a place]	supporting	audit:reviewed	Audit: fine as-is.
wefybdb64a	sacar [algo]	to get [something]	supporting	audit:reviewed	Audit: fine as-is.
w1s5ow6rtn	sacar [una nota]	to get [a grade]	reference	audit:reviewed	Audit: fine as-is.
8t1oov9cqo	sacar [una respuesta]	to figure out [an answer]	supporting	audit:reviewed	Audit: fine as-is.
9ockg94eza	sacar una conclusión	to draw a conclusion	reference	audit:reviewed	Audit: fine as-is.
2a7hnhmtu6	sacar [un producto]	to release [a product]	reference	audit:reviewed	Audit: fine as-is.
6xu8gu7squ	sacar [un producto]	to bring out [a product]	reference	audit:reviewed	Audit: fine as-is.
7ihfylaf0m	sacar a [alguien] de [un lugar]	to get [somebody] out of [a place]	reference	audit:reviewed	Audit: fine as-is.
3q9231a8nt	salir de [un lugar]	to leave [a place]	core	audit:reviewed	Audit: fine as-is.
zl1azbv6vk	salir	to go out	core	audit:reviewed	Audit: fine as-is.
4n3bcm9qjj	salir afuera	to go outside	reference	audit:reviewed	Audit: fine as-is.
r68cdfj171	salir de [un lugar]	to get out of [a place]	supporting	audit:reviewed	Audit: fine as-is.
y13ekw81d8	salir	to come out	supporting	audit:reviewed	Audit: fine as-is.
nd8kf3g80o	salir bien	to turn out well	supporting	audit:reviewed	Audit: fine as-is.
tc4o4z8jnt	salir mal	to go badly	reference	audit:reviewed	Audit: fine as-is.
gn6wgqx5vo	salir [caro/barato]	to cost [a lot or a little]	reference	audit:reviewed	Audit: fine as-is.
hbm575ua4b	salir [publicado]	to come out	reference	audit:reviewed	Audit: fine as-is.
rnznavwcfr	salir con [alguien]	to date [somebody]	supporting	audit:reviewed	Audit: fine as-is.
ezq7209l2y	salir con [alguien]	to go out with [somebody]	reference	audit:reviewed	Audit: fine as-is.
36avddqr7m	salir en [una publicación]	to appear in [a publication]	reference	audit:reviewed	Audit: fine as-is.
jj2s83qp8n	salvar a [alguien]	to save [somebody]	reference	audit:reviewed	Audit: fine as-is.
jfmjm99m19	salvarle la vida a [alguien]	to save [somebody's] life	reference	audit:reviewed	Audit: fine as-is.
jtxyzlj6nv	salvar [un obstáculo]	to overcome [an obstacle]	reference	audit:reviewed	Audit: fine as-is.
si6tzlf06j	salvar [algo]	to rescue [something]	reference	audit:reviewed	Audit: fine as-is.
m1asnh0c8n	seguir a [alguien]	to follow [somebody]	supporting	audit:reviewed	Audit: fine as-is.
f0z126w2cy	seguir [instrucciones]	to follow [instructions]	supporting	audit:reviewed	Audit: fine as-is.
odnmr4o3xv	seguir [haciendo algo]	to continue [doing something]	supporting	audit:reviewed	Audit: fine as-is.
ukd87mv2pz	seguir [haciendo algo]	to still be [doing something]	supporting	audit:reviewed	Audit: fine as-is.
na5kdv5rje	seguir [en un estado]	to still be [in a state]	supporting	audit:reviewed	Audit: fine as-is.
89g0nxntpb	seguir recto	to keep going straight	supporting	audit:reviewed	Audit: fine as-is.
fhohvsakmg	seguir a [alguien] en redes	to follow [somebody] online	reference	audit:reviewed	Audit: fine as-is.
snuyccf6qe	cumplir con [algo]	to follow through on [something]	reference	audit:reviewed	Audit: fine as-is.
5qdmpxi8us	seguir [haciendo algo]	to keep on [doing something]	reference	audit:reviewed	Audit: fine as-is.
ef4ltamqsa	seguir adelante	to carry on	reference	audit:reviewed	Audit: fine as-is.
vupb12qdkr	seguir así	to keep it up	reference	audit:reviewed	Audit: fine as-is.
kvedge4aey	no pisar [algo]	to keep off [something]	reference	audit:reviewed	Audit: fine as-is.
d5m00zj2i4	seguir intentándolo	to keep at it	reference	audit:reviewed	Audit: fine as-is.
y2s6dt7bku	sentar a [alguien]	to seat [somebody]	reference	audit:reviewed	Audit: fine as-is.
372sudzh0b	sentarse	to sit down	supporting	audit:reviewed	Audit: fine as-is.
4t3k0v5chd	sentar las bases de [algo]	to lay the foundation for [something]	reference	audit:reviewed	Audit: fine as-is.
