b1u0tt59t0	uno	one	core	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
sg0mhmy1g3	dos	two	core	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
916fz6l1gh	tres	three	core	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
sj02ormmtw	cuatro	four	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
wt98samedo	cinco	five	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
oy8v5zvn8b	seis	six	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
51gbegi9xv	siete	seven	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
qakubdvxn4	ocho	eight	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
8kk62n54ek	nueve	nine	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
2rx2xhdh4h	diez	ten	supporting	topic:cardinal-1-10	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
jv6ldncrer	once	eleven	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
g04obyf6c6	doce	twelve	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
2595sz61k6	trece	thirteen	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
zxxuc9rbeo	catorce	fourteen	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
81mkho1vkn	quince	fifteen	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
feji8uhi1z	dieciséis	sixteen	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
262y5pq2yi	diecisiete	seventeen	supporting	topic:cardinal-11-19	Subtopic split (size rule): Determiners' cardinal-number/quantifier buckets split into semantic sub-groups.
