gkinlwurxm	[participio] dive	dived	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Se ha zambullido en esa piscina muchas veces.	She has dived into that pool many times.
3vmu206qps	[participio] prove	proved	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ella ha demostrado que tenía razón.	She has proved that she was right.
t89x2qfisn	[participio] spoil	spoiled	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	La leche se ha echado a perder otra vez.	The milk has spoiled again.
gtp0cakjyi	[pasado] be	were	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Estaban ocupados anoche.	They were busy last night.
sia3vl9zuh	[participio] be	been	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	He estado aquí antes.	I have been here before.
8k1ayyt6pc	[participio] get	got	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha conseguido un ascenso en el trabajo.	She has got a promotion at work.
srl7scbt4x	[pasado] be	was	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Estaba cansado ayer.	I was tired yesterday.
l3jqtqp7we	[pasado] go	went	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Fuimos al cine el sábado.	We went to the movies on Saturday.
3r70xx9t9s	[participio] get	gotten	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha conseguido un ascenso en el trabajo.	She has gotten a promotion at work.
dyfhan9nwo	[pasado] have	had	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Tuvo un buen día en el trabajo.	She had a good day at work.
j75hzql7s8	[participio] go	gone	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Hemos ido a ese restaurante muchas veces.	We have gone to that restaurant many times.
rv6qhto601	[participio] have	had	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha tenido un buen año en el trabajo.	She has had a good year at work.
z3kamqz76n	[participio] broadcast	broadcast	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El canal ha transmitido el evento en vivo.	The channel has broadcast the event live.
e61dms0hq3	[pasado] get	got	supporting		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Consiguió un trabajo nuevo la semana pasada.	She got a new job last week.
zwehatba0w	[pasado] bend	bent	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Dobló la varilla de metal con las manos.	He bent the metal rod with his hands.
eangpz65s8	[participio] bend	bent	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha doblado la regla sin romperla.	He has bent the ruler without breaking it.
svtoxcx6b0	[participio] bet	bet	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha apostado dinero en cada partido esta temporada.	He has bet money on every game this season.
p85salreqo	[pasado] broadcast	broadcast	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El canal transmitió el partido en vivo.	The channel broadcast the game live.
uf2e7r7bol	[pasado] bind	bound	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El contrato lo obligó a pagar la deuda.	The contract bound him to pay the debt.
6c0uxx7uu9	[participio] bind	bound	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El acuerdo lo ha obligado a quedarse.	The agreement has bound him to stay.
hqskibtcl1	[participio] bite	bitten	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El perro ha mordido a alguien antes.	The dog has bitten someone before.
kosp2rzf7h	[pasado] bleed	bled	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	La herida sangró durante varios minutos.	The wound bled for several minutes.
qn1ohmgeli	[participio] bleed	bled	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	La herida ha sangrado toda la mañana.	The wound has bled all morning.
pvjomq5jkz	[pasado] bite	bit	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El perro me mordió la mano.	The dog bit my hand.
d1hnk98p24	[participio] blow	blown	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El viento ha soplado fuerte todo el día.	The wind has blown hard all day.
yw0r4qe03n	[pasado] blow	blew	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El viento sopló fuerte toda la noche.	The wind blew hard all night.
msi48xyv0q	[pasado] dive	dived	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Se zambulló en la piscina sin dudarlo.	She dived into the pool without hesitating.
f6oadawhhp	[participio] burn	burnt	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Se ha quemado la cena otra vez.	Dinner has burnt again.
w5jumzobua	[participio] burn	burned	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Se ha quemado la cena otra vez.	Dinner has burned again.
0nan92o13z	[pasado] dig	dug	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Cavó un hoyo profundo en el jardín.	He dug a deep hole in the garden.
pnwix23mmu	[participio] burst	burst	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	La tubería se ha reventado dos veces este mes.	The pipe has burst twice this month.
biczrdqgdd	[pasado] fit	fit	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El vestido le quedó perfecto.	The dress fit her perfectly.
okfppdbnlq	[pasado] creep	crept	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El gato se arrastró silenciosamente hacia el pájaro.	The cat crept quietly toward the bird.
ptwl0aih6e	[participio] creep	crept	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	El gato se ha arrastrado hacia el sofá.	The cat has crept toward the couch.
79go7y7jek	[pasado] deal	dealt	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Repartió las cartas a cada jugador.	He dealt the cards to each player.
t0j14amubg	[participio] deal	dealt	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha repartido las cartas en cada ronda.	He has dealt the cards in every round.
1yfqckbbl1	[participio] dig	dug	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Ha cavado varios hoyos en el jardín.	He has dug several holes in the garden.
eydd859tgk	[pasado] dive	dove	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Se zambulló en la piscina sin dudarlo.	She dove into the pool without hesitating.
y1b6i0a0r9	[pasado] dream	dreamed	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Anoche soñé con volar.	I dreamed about flying last night.
t6n1a8sts2	[pasado] dream	dreamt	reference		reformat to bracket-tag convention + real example sentence (was: prose scaffolding + self-referential example)	Anoche soñé con volar.	I dreamt about flying last night.
