hmxy7nv3cf	[el] abuelo	grandfather	supporting	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
51bbm0t5il	[el] acto	act	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
59nalyueux	[el] adicto	addict	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
btj4xcksut	[el] adulto	adult	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
lmq979w5o9	[el] aeropuerto	airport	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
rbn15onoif	[el] alfabeto	alphabet	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
yrjum3vv1w	[el] amigo	friend	supporting	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
jn2e358cct	[el] apartamento	apartment	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
jgqbst55jt	[el] argumento	argument	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
l4e9khpbor	[el] arquitecto	architect	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
rq5v0yngkf	[el] aspecto	aspect	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
pnr1qwchct	[el] banco	bank	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
7w31zud2ye	[el] baño	bathroom	supporting	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
eqgkxdihiu	[el] barrio	neighborhood	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
hudjcygfj0	[el] calendario	calendar	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
qz9uttqvu2	[el] cambio	change	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
vuzvlbjndb	[el] capitalismo	capitalism	reference	topic:masc-o-1	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
rgkaoqx4c0	[el] carro	car	supporting	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
2mg4cy8xgu	[el] círculo íntimo	the inner circle	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
010007hsii	[el] comunismo	communism	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
32b69rl1gj	[el] conflicto	conflict	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
7onkppih6a	[el] conocimiento	the knowledge	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
kga9c8rq9i	[el] contacto	contact	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
h6ec5g8ke1	[el] contrato	contract	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
apxuvpw3o5	[el] convicto	convict	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
ad5u9obvi9	[el] costo	the expense	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
vb2uvwnj0w	[el] costo	the cost	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
z4gqxgd1ln	[el] cuarto	room	supporting	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
vrd2xusmjs	[el] culto	cult	reference	topic:masc-o-2	Subtopic split (size rule): gender:masculine (217) split by noun ending; -o is the dominant pattern, chunked alphabetically.
