a12miruf57	[estar] disponible	[to be] available	supporting	audit:reviewed	Audit: fine as-is.		
ab3fpexagc	[la] salida	exit	supporting	audit:reviewed	Audit: fine as-is.		
ccrgp9wvgz	tener [número] años	to be [number] years old	core	audit:reviewed	Audit: fine as-is.		
foy4696l7r	el	the	core	audit:reviewed	Audit: fine as-is (redundant bare tag 'el vs él' removed separately).		
u7zp2lujp0	los	the	core	audit:reviewed	Audit: fine as-is.		
4j1nc0c9o9	las	the	core	audit:reviewed	Audit: fine as-is.		
t7i1q6sopk	[el] éxito	success	reference	audit:reviewed	Audit: fine as-is.		
sp9vpwtyfk	antiguo	old	reference	audit:reviewed	Audit: fine as-is.		
c3t870d60r	[ser] diferente	[to be] different	reference	audit:reviewed	Audit: fine as-is.		
1amptqkvwv	[la] disponibilidad	availability	reference	audit:reviewed	Audit: fine as-is.		
or5vrih2lk	[ser] sensible	[to be] sensitive	reference	audit:reviewed	Audit: fine as-is.		
lztdsmka37	[ser] diferente	[to be] unlike	reference	audit:reviewed	Audit example fix: gloss is "[to be] unlike" but the old example ("...es diferente de ese."/"...different from that one.") never used "unlike" — replaced the English side to match the actual headword.	Este libro es diferente de ese.	This book is unlike that one.
nc5yb5f5cn	[estar] disponible	[to be] free	reference	audit:reviewed	Audit: fine as-is.		
aawalesw7o	vivir	to live	core	audit:reviewed	Audit: fine as-is.		
z2tltbudld	vivir en [un lugar]	to live in [a place]	supporting	audit:reviewed	Audit: fine as-is.		
6g3l09qji4	vivir con [alguien]	to live with [somebody]	supporting	audit:reviewed	Audit: fine as-is.		
v1a7c89j32	[ser] largo	[to be] long	supporting	audit:reviewed	Audit: fine as-is.		
b1u0tt59t0	uno	one	core	audit:reviewed	Audit: fine as-is.		
dciouj17pb	mil millones	one billion	reference	audit:reviewed	Audit: fine as-is.		
k55vujgmii	un billón	one trillion	reference	audit:reviewed	Audit: fine as-is.		
iswcllbips	[la] dirección	address	supporting	audit:reviewed	Audit: fine as-is.		
btcf40lgg6	[la] dirección	direction	reference	audit:reviewed	Audit: fine as-is.		
ofcx4vhmey	[la] plaza	plaza	reference	audit:reviewed	Audit: fine as-is.		
6gh8d3gw7b	leer ==> la lectura	to read ==> the reading	reference	audit:reviewed	Audit: fine as-is.		
c48b9qs6fd	[ser] imprudente	[to be] reckless	reference	audit:reviewed	Audit: fine as-is.		
zv195eq10v	[ser] insignificante	[to be] insignificant	reference	audit:reviewed	Audit: fine as-is.		
nuuwniplla	último	last	supporting	audit:reviewed	Audit: fine as-is.		
11lmznqkb7	tan [adjetivo]	so [adjective]	core	audit:reviewed	Audit: fine as-is.		
iy5z32hskd	tanto [sustantivo no contable]	so much [uncountable noun]	supporting	audit:reviewed	Audit: fine as-is.		
8jv3otkqa7	un	a	core	audit:reviewed	Audit: fine as-is.		
7rngt9gu3p	algún [sustantivo]	some [noun]	supporting	audit:reviewed	Audit: fine as-is.		
rh4yfb08hn	voy a [hacer algo]	I am going [to do something]	core	audit:reviewed	Audit: fine as-is.		
0m0vzyyfd9	va a [hacer algo]	is going [to do something]	core	audit:reviewed	Audit: fine as-is.		
b5c13zo3bg	soy [algo]	I am [something]	core	audit:reviewed	Audit: fine as-is.		
93wmoiwink	estoy [en un estado o lugar]	I am [somewhere or feeling something]	core	audit:reviewed	Audit: fine as-is.		
zs2vl4oxdq	está [en un estado o lugar]	is [somewhere or feeling something]	core	audit:reviewed	Audit: fine as-is.		
opdzad1zrx	voy a [un lugar]	I am going to [a place]	core	audit:reviewed	Audit: fine as-is.		
v9mrlosy7o	va a [un lugar]	is going to [a place]	core	audit:reviewed	Audit: fine as-is.		
n8ahr1jble	soy [adjetivo]	I am [adjective]	core	audit:reviewed	Audit: fine as-is.		
9c2am535n8	es [adjetivo]	is [adjective]	core	audit:reviewed	Audit: fine as-is.		
u8levmjjk9	[ser] sensato	[to be] sensible	reference	audit:reviewed	Audit: fine as-is.		
2z1v0jn9n7	[la] conferencia	the lecture	reference	audit:reviewed	Audit: fine as-is.		
