cld2cnhb2w	pasarle [algo] a [alguien]	to pass [somebody] [something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
erwsyenslz	prestarle [algo] a [alguien]	to lend [somebody] [something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
oi3ndfk0qf	contarle [una historia] a [alguien]	to tell [somebody] [a story]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
xqrvzbv9iu	conseguirle [algo] a [alguien]	to get [somebody] [something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
u9mhk0r7wd	contarle [algo] a [alguien]	to tell [somebody] [something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
wii1500zn6	costarle [algo] a [alguien]	to cost [somebody] [something]	reference	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
d1bjmwehz9	deberle [algo] a [alguien]	to owe [somebody] [something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
cz1u7ybmyj	dejarle [algo] a [alguien]	to lend [somebody] [something]	reference	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
y2jk0txcur	decirle [algo] a [alguien]	to tell [somebody] [something]	core	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
2qfu76z9es	darle [algo] a [alguien]	to give [somebody] [something]	core	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
rwakqe331j	preguntarle [algo] a [alguien]	to ask [somebody] [something]	core	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
o8w71qqdrb	recordarle a [alguien] [hacer algo]	to remind [somebody] [to do something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
s85ujijsq3	enseñarle a [alguien] a [hacer algo]	to teach [somebody] to [do something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
de07i743wz	esperar a que [alguien] [haga algo]	to wait for [somebody] to [do something]	supporting	topic:verb-pattern	Extending Verb Patterns with double-object, object+complement, passive, and going-to facets.		
